ID,SAMN03477196,SAMN10366346,SAMN04455177,SAMN04901736,SAMEA91129168,SAMN07702427,SAMN03861576,SAMN07812345,SAMEA4064249,SAMN02645730,SAMN06346037,SAMN02368524,SAMN03959556,SAMN03702093,SAMN07816686,SAMN07180545,SAMN04518085,SAMN06899404,SAMN07734921,SAMN07420420,SAMN07500625,SAMN09848253,SAMN09651392,SAMN03269463,SAMN06602845,SAMN03573394,SAMN02844541,SAMN08001085,SAMN02844446,SAMN02403422,SAMN03431311,SAMN07342214,SAMEA1572008,SAMEA2228078,SAMN07528637,SAMEA4731308,SAMN07812441,SAMN07518806,SAMN08239874,SAMN08326657,SAMN06250983,SAMN02894000,SAMN04600462,SAMN09244213,SAMN03479280,SAMN09463346,SAMN03476448,SAMN07718808,SAMEA25964668,SAMN08798105,SAMN04858548,SAMN08796047,SAMN08798113,SAMN08797637,SAMN08797658,SAMN07419683,SAMN08970397,SAMEA4969793,SAMN07455834,SAMN09914078,SAMN09650494,SAMN04883174,SAMN04576714,SAMN03359749,SAMN08114260,SAMN08967090,SAMN08828207,SAMN05875578,SAMN03798175,SAMN08522210,SAMN02345386,SAMN08773502,SAMN10079363,SAMN06333902,SAMN07551802,SAMN09476521,SAMN04933547,SAMN02844694,SAMN06957049,SAMN07342313,SAMN02767003,SAMN08275883,SAMN04363045,SAMN03098741,SAMN09681767,SAMN07274008,SAMN04600124,SAMN10134229,SAMN09377484,SAMN05201929,SAMN09474890,SAMN06090728,SAMN05894824,SAMEA3572894,SAMEA4064215,SAMN06034003,SAMN10241167,SAMN03479973,SAMN06758858,SAMEA20275918
SAMN05013724,0.0371624,0.0183741,0.0185579,0.0186442,0.0183802,0.0185149,0.0184169,0.018706,0.0221835,0.0179567,0.0182039,0.0209637,0.0204522,0.0202599,0.0152031,0.0168619,0.0153952,0.0155889,0.0151872,0.0150074,0.0166287,0.0156214,0.0166457,0.0163586,0.0162471,0.0157299,0.015943,0.0159595,0.0161859,0.0164539,0.0162749,0.0184047,0.0196017,0.0180348,0.0179867,0.0180529,0.013541,0.0137289,0.0143537,0.0141908,0.0142518,0.0125875,0.0129629,0.0133059,0.0130686,0.0131555,0.0140643,0.0126394,0.0126961,0.0129437,0.0128005,0.01281,0.0127388,0.0127672,0.012772,0.0128338,0.0127815,0.0128959,0.013083,0.0131023,0.0129964,0.0130205,0.0130012,0.0130108,0.0130108,0.0130205,0.0131361,0.01317,0.0118744,0.0127056,0.0119657,0.0115492,0.0131942,0.0113618,0.0122372,0.0123394,0.0123068,0.0120849,0.0121402,0.0121586,0.0121402,0.0121632,0.011491,0.0109093,0.0104283,0.00790383,0.00601327,0.00378892,0.00391485,0.00306905,0.00272286,0.00276787,0.00298042,0.00296617,0.00257741,0.00241112,0.00204013,0.00220552,0.00376802,0.00250238
SAMN02314175,0.0357867,0.010054,0.00665641,0.00625827,0.0106931,0.0105432,0.0105347,0.010788,0.014318,0.00926554,0.00946684,0.0124373,0.0127577,0.0113662,0.0163195,0.0167308,0.0167592,0.0175998,0.0154059,0.0177597,0.0167081,0.0150338,0.0164764,0.0160918,0.015987,0.0153631,0.0154113,0.0153043,0.015465,0.0157844,0.0154327,0.0179388,0.0195953,0.017167,0.0171786,0.0172482,0.0145282,0.0150232,0.0161582,0.0163363,0.0163754,0.0161582,0.0152563,0.0155619,0.0163754,0.0155619,0.018638,0.0167877,0.0158062,0.0160863,0.0158718,0.0158827,0.0158226,0.015828,0.0158226,0.0158992,0.0158335,0.015965,0.0159815,0.0159375,0.0158499,0.0158718,0.0158718,0.0158772,0.0158718,0.0158718,0.0160145,0.0160586,0.015828,0.015719,0.0152084,0.0154811,0.015828,0.0167706,0.0158608,0.0157027,0.016482,0.015976,0.0153845,0.015535,0.0155403,0.0155511,0.0153043,0.0160642,0.0164989,0.0153738,0.0166797,0.0167763,0.0167137,0.0177182,0.0166004,0.016544,0.0167251,0.0168619,0.0167934,0.0168619,0.0168676,0.0164371,0.0179148,0.0167934
SAMN07719073,0.0533625,0.0406685,0.0404199,0.041031,0.0411716,0.040947,0.0408631,0.0408771,0.043179,0.0403101,0.040724,0.0425249,0.0418121,0.0419418,0.0377613,0.0386565,0.0371501,0.0371995,0.0374978,0.038891,0.0385528,0.0377235,0.0384753,0.0382824,0.0382183,0.0380779,0.03818,0.0381417,0.0384109,0.0386565,0.0382952,0.0406823,0.041412,0.0402554,0.0401053,0.0400645,0.0359285,0.0363822,0.0367576,0.0365875,0.0365996,0.0347555,0.035435,0.0354467,0.0350991,0.0352145,0.03503,0.0353303,0.0354234,0.0358221,0.0357278,0.0357395,0.0356807,0.035716,0.0356807,0.0357513,0.0357042,0.0357867,0.0355752,0.0355284,0.035669,0.035716,0.0356807,0.035622,0.0357042,0.0357042,0.0358339,0.0358693,0.0341249,0.0346873,0.0341918,0.0336389,0.03547,0.0352724,0.0345513,0.0347555,0.0344836,0.0340804,0.0342365,0.034203,0.0341361,0.0341361,0.0340249,0.0331072,0.0322806,0.0304119,0.0285514,0.0252895,0.025484,0.0261931,0.0254028,0.0259933,0.0261264,0.026235,0.0259684,0.0259105,0.0254028,0.0257868,0.0267762,0.0262266
SAMN09433715,0.0362382,0.0169249,0.0181675,0.0170399,0.0167308,0.0165327,0.0167479,0.0170687,0.0207942,0.0161915,0.0165552,0.0194799,0.0190552,0.0187866,0.0139737,0.0155727,0.0140845,0.0147405,0.0134133,0.0162248,0.015299,0.015113,0.0153738,0.0149601,0.0148762,0.0143589,0.014673,0.0145179,0.0148082,0.0150285,0.014554,0.0169823,0.0183863,0.0167535,0.0165948,0.016623,0.0120711,0.0127245,0.0138785,0.014024,0.0140643,0.0120803,0.0115806,0.0117609,0.011491,0.0114063,0.0125123,0.012191,0.011251,0.0115671,0.0113751,0.0113796,0.0112776,0.0112997,0.0113041,0.0113885,0.0113396,0.0114508,0.011639,0.0116255,0.0115089,0.0115223,0.0115044,0.0115134,0.0115313,0.0115402,0.0116616,0.0117383,0.0101124,0.0112555,0.0105517,0.0108659,0.0117157,0.012016,0.0109615,0.0108269,0.0109049,0.0107621,0.010719,0.0108789,0.0108919,0.0108919,0.0100582,0.00949519,0.00983437,0.00655869,0.00499419,0.00252735,0.00259413,0.00354269,0.00230116,0.00130132,0.00135819,6.6807e-05,0.00132973,0.00200779,0.00151168,0.00110635,0.00302039,0.00162446
SAMN03464507,0.0351914,0.0161084,0.0178969,0.0167877,0.0166967,0.0166683,0.0166287,0.0168791,0.0208213,0.0163363,0.0164315,0.0193905,0.0194033,0.0185026,0.0138985,0.0135508,0.0126017,0.0127008,0.0113974,0.0131797,0.0128959,0.0122419,0.0129581,0.0125875,0.0125076,0.0123813,0.0131603,0.0125264,0.012386,0.0130589,0.0131748,0.0185395,0.0190804,0.0170745,0.0169077,0.0169593,0.01281,0.0130253,0.0143231,0.0144768,0.0145025,0.014364,0.0138735,0.0146989,0.0150866,0.0144254,0.0164876,0.015166,0.0142619,0.0144768,0.0142772,0.0142874,0.0141908,0.0142212,0.0141959,0.0142925,0.0142314,0.0143282,0.0144665,0.0144665,0.0143486,0.0143742,0.014364,0.0143793,0.0143589,0.0143589,0.0145128,0.014554,0.0137389,0.0140341,0.0132136,0.0138335,0.0140089,0.0153738,0.0139737,0.0136645,0.0144768,0.0139586,0.0135213,0.0130686,0.0136348,0.0136595,0.012517,0.0137737,0.0141604,0.0134967,0.0145695,0.0145231,0.0145128,0.0152297,0.0144922,0.0142619,0.0145128,0.0146574,0.0143589,0.0146678,0.0146057,0.0141908,0.0156052,0.0145643
SAMN05596813,0.0362023,0.0106159,0.00704174,0.00685339,0.0111893,0.0111321,0.01104,0.0113929,0.0149496,0.00985912,0.0100665,0.0128911,0.0131071,0.0118562,0.0166513,0.0173181,0.0169766,0.0178073,0.01602,0.0180709,0.0171728,0.015943,0.0170802,0.0166174,0.0165214,0.0158554,0.0160366,0.0159211,0.0161028,0.0163754,0.015987,0.0184842,0.0202401,0.0173707,0.0173531,0.0173999,0.0151607,0.0158007,0.016782,0.0168448,0.0168676,0.0167081,0.015828,0.0162137,0.0167137,0.0161748,0.0187122,0.0172599,0.0163922,0.0166967,0.0164989,0.0165102,0.0164203,0.0164259,0.0164259,0.0165271,0.0164708,0.0165665,0.0164315,0.0163754,0.0164764,0.0165383,0.0165045,0.0165327,0.0165214,0.0165214,0.0166797,0.0167081,0.0164483,0.0163475,0.015828,0.0162471,0.0164764,0.0173065,0.0165045,0.0162582,0.0169823,0.0167137,0.0160255,0.0160421,0.0160311,0.0160311,0.0159266,0.016657,0.0170341,0.0159925,0.0171322,0.0168562,0.0167763,0.0180529,0.0169996,0.0170976,0.0172076,0.0173123,0.0170976,0.0172599,0.0174116,0.0169938,0.0183254,0.0172482
SAMN09435059,0.0357867,0.0164989,0.0177538,0.0168734,0.0169421,0.0165383,0.0165835,0.0168105,0.0211411,0.016197,0.0163922,0.0194863,0.0196661,0.0185764,0.0139285,0.0136199,0.013112,0.013482,0.0111849,0.00266677,0.00136078,0.0126299,0.01361,0.0131216,0.013006,0.0131361,0.0127056,0.0126394,0.0124935,0.0130301,0.0134329,0.0186875,0.0194288,0.0170053,0.0168105,0.0168791,0.0131603,0.0136694,0.0149969,0.0151819,0.0152031,0.014318,0.0138335,0.0147561,0.0149549,0.0145385,0.017359,0.0150391,0.0139135,0.0142721,0.0140794,0.0140744,0.0140039,0.014024,0.014024,0.0141148,0.0140694,0.0141502,0.0140946,0.0140895,0.0141098,0.014135,0.01413,0.0141401,0.0141452,0.0141401,0.0142568,0.0142976,0.0140542,0.0139737,0.0139235,0.0144254,0.0144562,0.0154865,0.014206,0.0138435,0.0147665,0.0141148,0.0138135,0.0139787,0.0139386,0.0139536,0.0126347,0.0144408,0.0148553,0.0138285,0.0148082,0.0147249,0.0146834,0.016009,0.014777,0.0146419,0.0149811,0.0150866,0.0145953,0.0151289,0.0150074,0.0145282,0.0161693,0.0150232
SAMN08629956,0.0364786,0.0173473,0.0186319,0.0175585,0.0175408,0.0176944,0.017289,0.017861,0.0215347,0.0169077,0.0169996,0.0203725,0.0203327,0.0195953,0.0152883,0.0160863,0.0147353,0.015251,0.0142314,0.0156214,0.0157571,0.015535,0.0158608,0.0154811,0.0153738,0.014673,0.0150074,0.0149024,0.0151395,0.0155835,0.0151501,0.01773,0.0186627,0.0171612,0.0170053,0.0170514,0.0124561,0.0130879,0.0141148,0.0141452,0.0141806,0.0124327,0.0122604,0.0125969,0.0125076,0.0121033,0.0142416,0.013233,0.0125029,0.0124795,0.0125734,0.0125828,0.0125076,0.0125311,0.0125264,0.0125969,0.0125358,0.0126583,0.0126914,0.0126536,0.0125546,0.0125828,0.0125593,0.0125593,0.0125781,0.0125781,0.0124654,0.0125781,0.0109964,0.0119703,0.010931,0.0114063,0.012228,0.0119063,0.0119474,0.011639,0.012191,0.0116075,0.0111541,0.0114597,0.0114241,0.0114464,0.0107621,0.0099087,0.0103013,0.00728978,0.00561202,0.00347214,0.00353386,0.00212669,0.0031351,0.00314373,0.00329408,0.00355743,0.0033785,0.00392087,0.00343989,0.00309199,0.0046773,0.00363129
SAMN07450804,0.0360949,0.016125,0.0172948,0.0167308,0.0163866,0.0162861,0.0164539,0.016691,0.0206663,0.016197,0.0162638,0.0196403,0.019448,0.0186566,0.0140895,0.0145953,0.0139988,0.0147561,0.013141,0.015535,0.0143486,0.0147717,0.0149024,0.0144819,0.0143589,0.0140744,0.0142162,0.013724,0.0139285,0.0145643,0.0143896,0.0167877,0.0176826,0.0157082,0.0155296,0.0156106,0.0116616,0.0123347,0.0135164,0.0136793,0.013719,0.0117428,0.0111673,0.0117881,0.0121033,0.0113929,0.00478758,0.00204823,0.000828221,0.000512922,0.000302863,0.000310145,0.00030529,0.000327148,0.000319858,0.000322288,0.000239895,0.000380704,0.000875924,0.000969222,0.000753185,0.000770662,0.000758176,0.000763169,0.000763169,0.00077316,0.000913683,0.000966693,0.0111453,0.0115134,0.0111057,0.011603,0.0113618,0.0124701,0.0112113,0.0107966,0.011603,0.0114821,0.0112776,0.0114464,0.0114687,0.0114776,0.012154,0.0116976,0.0120757,0.0109223,0.0120665,0.011829,0.0117791,0.0129293,0.0118426,0.0112731,0.011433,0.0115941,0.0113396,0.0115671,0.0114152,0.0110007,0.012872,0.011603
SAMN10104852,0.0355752,0.0094547,0.010556,0.00968655,0.0104198,0.00933778,0.00962528,0.0099584,0.0136051,0.00483822,0.00425207,0.0118199,0.0121494,0.01104,0.0165552,0.0167365,0.0166683,0.0174527,0.0151183,0.0176293,0.0166004,0.0165778,0.0166683,0.0163195,0.0162415,0.0158007,0.0155026,0.0157844,0.0158937,0.0161305,0.0156647,0.0173123,0.0192255,0.0170514,0.0168505,0.0169364,0.0149917,0.0155619,0.0167024,0.0168734,0.0169192,0.0159925,0.0158171,0.0162916,0.0164259,0.0153203,0.018095,0.016623,0.0157735,0.0160807,0.0158992,0.0158937,0.0158062,0.015828,0.0158226,0.0159266,0.0158499,0.0159925,0.0160035,0.0159595,0.0158608,0.0158992,0.0158663,0.0158663,0.0158937,0.0158882,0.0160311,0.0160586,0.0151766,0.0161084,0.0154972,0.0156593,0.0156973,0.0164034,0.0155188,0.0152936,0.0158937,0.0159705,0.0155889,0.0157571,0.0157245,0.015768,0.0151289,0.0158444,0.0162638,0.0150866,0.0165102,0.0163866,0.0163978,0.0172424,0.0161693,0.0160863,0.0159925,0.0161637,0.0162638,0.0165158,0.0164259,0.0159815,0.0174879,0.016381
