sample,species_sylph,species_miniphy,filename_in_tar_xz,tar_xz,tar_xz_url,tar_xz_md5,tar_xz_size_MB
SAMN29019231,Bacillus_A thuringiensis_S,bacillusa_thuringiensiss,atb.assembly.r0.2.batch.97/SAMN29019231.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN31439983,Bacillus xiamenensis,bacillus_xiamenensis,atb.assembly.r0.2.batch.97/SAMN31439983.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN18794689,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN18794689.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN14069001,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN14069001.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN14908333,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN14908333.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN14309916,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN14309916.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN27018952,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN27018952.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN22138608,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN22138608.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN28054740,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN28054740.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN19656044,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN19656044.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN16954690,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN16954690.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN30498090,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN30498090.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN19091683,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN19091683.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN11964574,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN11964574.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN33247801,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN33247801.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN20081543,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN20081543.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13262495,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13262495.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN12530383,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN12530383.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN22811642,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN22811642.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN25898146,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN25898146.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN25898145,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN25898145.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN22811641,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN22811641.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN22811639,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN22811639.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
SAMN13262483,Bacillus velezensis,bacillus_velezensis,atb.assembly.r0.2.batch.97/SAMN13262483.fa,atb.assembly.r0.2.batch.97.tar.xz,https://osf.io/download/667155cb65e1de5e8a893bf6/,c391c1733ecd20b2f6dd4e3290be88b6,114.5
