,distinct_31mers
acinetobacter_baumannii__01,159301616.00000000
acinetobacter_baumannii__02,86562328.00000000
acinetobacter_nosocomialis__01,43828308.00000000
acinetobacter_pittii__01,70363192.00000000
actinobacillus_pleuropneumoniae__01,15841974.00000000
aeromonas_hydrophila__01,128439968.00000000
aeromonas_salmonicida__01,15791179.00000000
aeromonas_veronii__01,122750168.00000000
bacillus_anthracis__01,25757380.00000000
bacillus_cereus__01,250904416.00000000
bacillus_subtilis__01,266972640.00000000
bacillus_thuringiensis__01,210220032.00000000
bacteroides_fragilis__01,133394336.00000000
bordetella_bronchiseptica__01,27964356.00000000
bordetella_pertussis__01,11477665.00000000
borreliella_burgdorferi__01,23654614.00000000
brucella_abortus__01,7256929.00000000
brucella_melitensis__01,4143413.75000000
brucella_suis__01,4129115.25000000
burkholderia_cenocepacia__01,113730504.00000000
burkholderia_cepacia__01,267177584.00000000
burkholderia_contaminans__01,45456856.00000000
burkholderia_gladioli__01,77591808.00000000
burkholderia_multivorans__01,67368496.00000000
burkholderia_pseudomallei__01,69016240.00000000
burkholderia_ubonensis__01,107728160.00000000
burkholderia_vietnamiensis__01,54251288.00000000
campylobacter_coli__01,70669136.00000000
campylobacter_coli__02,42009820.00000000
campylobacter_coli__03,12767569.00000000
campylobacter_fetus__01,15222400.00000000
campylobacter_helveticus__01,16875860.00000000
campylobacter_jejuni__01,58716552.00000000
campylobacter_jejuni__02,73730768.00000000
campylobacter_jejuni__03,75750888.00000000
campylobacter_jejuni__04,76794328.00000000
campylobacter_jejuni__05,39109984.00000000
campylobacter_jejuni__06,25651906.00000000
campylobacter_jejuni__07,24994222.00000000
campylobacter_jejuni__08,11138265.00000000
campylobacter_lari__01,28026946.00000000
caulobacter_vibrioides__01,16607189.00000000
chlamydia_pecorum__01,44753800.00000000
chlamydia_trachomatis__01,162710240.00000000
citrobacter_freundii__01,117505448.00000000
citrobacter_rodentium__01,17932084.00000000
clostridioides_difficile__01,147766976.00000000
clostridioides_difficile__02,248274880.00000000
clostridioides_difficile__03,192507840.00000000
clostridioides_difficile__04,148431248.00000000
clostridium_botulinum__01,170108624.00000000
clostridium_perfringens__01,70029328.00000000
corynebacterium_diphtheriae__01,35100592.00000000
cronobacter_sakazakii__01,28281998.00000000
cutibacterium_acnes__01,43167652.00000000
dichelobacter_nodosus__01,17866842.00000000
dustbin__01,1104263296.00000000
dustbin__02,1872945024.00000000
dustbin__03,1680610304.00000000
dustbin__04,1965412736.00000000
dustbin__05,1723128704.00000000
dustbin__06,1855511680.00000000
dustbin__07,1648312704.00000000
dustbin__08,2060858624.00000000
dustbin__09,1732221056.00000000
dustbin__10,2051967616.00000000
dustbin__11,1865724160.00000000
dustbin__12,1914947968.00000000
dustbin__13,1929371520.00000000
dustbin__14,1450376576.00000000
dustbin__15,2031726464.00000000
dustbin__16,1681791744.00000000
dustbin__17,1320651136.00000000
dustbin__18,1563303552.00000000
dustbin__19,1349180032.00000000
dustbin__20,1693863808.00000000
dustbin__21,1742248320.00000000
dustbin__22,1595501568.00000000
elizabethkingia_anophelis__01,19204552.00000000
enterobacter_cloacae__01,418642624.00000000
enterobacter_hormaechei__01,156315952.00000000
enterococcus_faecalis__01,205409328.00000000
enterococcus_faecium__01,88108368.00000000
enterococcus_faecium__02,121427544.00000000
enterococcus_faecium__03,36145632.00000000
enterococcus_hirae__01,21707344.00000000
erysipelothrix_rhusiopathiae__01,22332884.00000000
escherichia_albertii__01,35839996.00000000
escherichia_coli__01,168449792.00000000
escherichia_coli__02,312419776.00000000
escherichia_coli__03,213768144.00000000
escherichia_coli__04,138272960.00000000
escherichia_coli__05,239340832.00000000
escherichia_coli__06,136451088.00000000
escherichia_coli__07,147482832.00000000
escherichia_coli__08,277893600.00000000
escherichia_coli__09,164520976.00000000
escherichia_coli__10,155690416.00000000
escherichia_coli__11,181841920.00000000
escherichia_coli__12,154449664.00000000
escherichia_coli__13,214816160.00000000
escherichia_coli__14,187991312.00000000
escherichia_coli__15,150762656.00000000
escherichia_coli__16,146494112.00000000
escherichia_coli__17,140574048.00000000
escherichia_coli__18,141884432.00000000
escherichia_coli__19,175818000.00000000
escherichia_coli__20,205001280.00000000
escherichia_coli__21,163413424.00000000
escherichia_coli__22,169947760.00000000
escherichia_coli__23,75326760.00000000
eubacterium_hallii__01,180800032.00000000
flavobacterium_johnsoniae__01,243029328.00000000
glaesserella_parasuis__01,29646300.00000000
haemophilus_influenzae__01,54498816.00000000
helicobacter_pylori__01,50280768.00000000
hungateiclostridium_thermocellum__01,17423378.00000000
klebsiella_aerogenes__01,64616392.00000000
klebsiella_oxytoca__01,125044528.00000000
klebsiella_pneumoniae__01,218758144.00000000
klebsiella_pneumoniae__02,197083264.00000000
klebsiella_pneumoniae__03,223474128.00000000
klebsiella_pneumoniae__04,112837280.00000000
klebsiella_quasipneumoniae__01,95782496.00000000
klebsiella_variicola__01,91801760.00000000
lactobacillus_casei__01,29080656.00000000
lactobacillus_plantarum__01,124351088.00000000
lactobacillus_rhamnosus__01,35495784.00000000
lactobacillus_salivarius__01,21911082.00000000
lactococcus_lactis__01,40628068.00000000
legionella_pneumophila__01,146708256.00000000
leptospira_interrogans__01,69837056.00000000
listeria_monocytogenes__01,46069084.00000000
listeria_monocytogenes__02,67097500.00000000
listeria_monocytogenes__03,76607040.00000000
listeria_monocytogenes__04,64310248.00000000
listeria_monocytogenes__05,109110016.00000000
listeria_monocytogenes__06,77641632.00000000
listeria_monocytogenes__07,31110038.00000000
mannheimia_haemolytica__01,67366000.00000000
mesorhizobium_ciceri__01,213006384.00000000
moraxella_catarrhalis__01,40819480.00000000
morganella_morganii__01,92748664.00000000
mycobacterium_avium__01,527949728.00000000
mycobacterium_bovis__01,8991777.00000000
mycobacterium_chimaera__01,189113664.00000000
mycobacterium_intracellulare__01,120519080.00000000
mycobacterium_kansasii__01,158645184.00000000
mycobacterium_tuberculosis__01,212738112.00000000
mycobacterium_tuberculosis__02,130080048.00000000
mycobacterium_tuberculosis__03,508730912.00000000
mycobacterium_tuberculosis__04,200019264.00000000
mycobacterium_tuberculosis__05,191255760.00000000
mycobacterium_tuberculosis__06,239203296.00000000
mycobacterium_tuberculosis__07,438626624.00000000
mycobacterium_tuberculosis__08,325284192.00000000
mycobacterium_tuberculosis__09,77325072.00000000
mycobacterium_tuberculosis__10,332991392.00000000
mycobacterium_tuberculosis__11,105624416.00000000
mycobacterium_tuberculosis__12,301108640.00000000
mycobacterium_tuberculosis__13,166303792.00000000
mycobacterium_ulcerans__01,32042012.00000000
mycobacteroides_abscessus__01,247841680.00000000
mycobacteroides_chelonae__01,146467232.00000000
mycolicibacterium_smegmatis__01,51303256.00000000
mycoplasma_bovis__01,7717111.50000000
mycoplasma_hyopneumoniae__01,8419097.00000000
mycoplasma_pneumoniae__01,1486920.12500000
neisseria_gonorrhoeae__01,65760752.00000000
neisseria_gonorrhoeae__02,106137520.00000000
neisseria_gonorrhoeae__03,5099066.50000000
neisseria_lactamica__01,38578444.00000000
neisseria_meningitidis__01,43610852.00000000
neisseria_meningitidis__02,29147190.00000000
neisseria_meningitidis__03,40216268.00000000
neisseria_meningitidis__04,77668344.00000000
neisseria_meningitidis__05,13407793.00000000
neisseria_subflava__01,39170744.00000000
oenococcus_oeni__01,4709021.50000000
paenibacillus_larvae__01,11194978.00000000
pasteurella_multocida__01,30153710.00000000
porphyromonas_gingivalis__01,32104368.00000000
prochlorococcus_marinus__01,294275136.00000000
proteus_mirabilis__01,126665016.00000000
pseudomonas_aeruginosa__01,246441568.00000000
pseudomonas_aeruginosa__02,214949696.00000000
pseudomonas_fluorescens__01,462261216.00000000
pseudomonas_putida__01,208791744.00000000
pseudomonas_syringae__01,88501584.00000000
rhizobium_leguminosarum__01,199816944.00000000
roseburia_hominis__01,220854224.00000000
salmonella_bongori__01,15004150.00000000
salmonella_enterica__01,99751304.00000000
salmonella_enterica__02,143491312.00000000
salmonella_enterica__03,130148328.00000000
salmonella_enterica__04,98509840.00000000
salmonella_enterica__05,102072648.00000000
salmonella_enterica__06,188823152.00000000
salmonella_enterica__07,146111216.00000000
salmonella_enterica__08,168453664.00000000
salmonella_enterica__09,164383136.00000000
salmonella_enterica__10,134474768.00000000
salmonella_enterica__11,168498688.00000000
salmonella_enterica__12,295574560.00000000
salmonella_enterica__13,279953856.00000000
salmonella_enterica__14,108892464.00000000
salmonella_enterica__15,115149080.00000000
salmonella_enterica__16,204070912.00000000
salmonella_enterica__17,155910688.00000000
salmonella_enterica__18,121820632.00000000
salmonella_enterica__19,139309152.00000000
salmonella_enterica__20,107450128.00000000
salmonella_enterica__21,177817424.00000000
salmonella_enterica__22,119007696.00000000
salmonella_enterica__23,108226464.00000000
salmonella_enterica__24,167170224.00000000
salmonella_enterica__25,105601064.00000000
salmonella_enterica__26,92193512.00000000
salmonella_enterica__27,106230648.00000000
salmonella_enterica__28,165119040.00000000
salmonella_enterica__29,125384040.00000000
salmonella_enterica__30,102483632.00000000
salmonella_enterica__31,97742824.00000000
salmonella_enterica__32,104509880.00000000
salmonella_enterica__33,85772936.00000000
salmonella_enterica__34,141598592.00000000
salmonella_enterica__35,110893776.00000000
salmonella_enterica__36,159405808.00000000
salmonella_enterica__37,194712288.00000000
salmonella_enterica__38,189545472.00000000
salmonella_enterica__39,230075440.00000000
salmonella_enterica__40,202913024.00000000
salmonella_enterica__41,121364720.00000000
salmonella_enterica__42,92737920.00000000
salmonella_enterica__43,136202416.00000000
salmonella_enterica__44,147212080.00000000
salmonella_enterica__45,101989632.00000000
salmonella_enterica__46,82495960.00000000
serratia_marcescens__01,123336232.00000000
shigella_dysenteriae__01,11512021.00000000
shigella_flexneri__01,25373928.00000000
sinorhizobium_meliloti__01,87607728.00000000
staphylococcus_agnetis__01,20732688.00000000
staphylococcus_argenteus__01,18271806.00000000
staphylococcus_aureus__01,103194880.00000000
staphylococcus_aureus__02,25758026.00000000
staphylococcus_aureus__03,40402036.00000000
staphylococcus_aureus__04,43373772.00000000
staphylococcus_aureus__05,47661200.00000000
staphylococcus_aureus__06,71006160.00000000
staphylococcus_aureus__07,101166384.00000000
staphylococcus_aureus__08,71209168.00000000
staphylococcus_aureus__09,69129304.00000000
staphylococcus_aureus__10,199038896.00000000
staphylococcus_aureus__11,215229312.00000000
staphylococcus_aureus__12,286416256.00000000
staphylococcus_aureus__13,10020357.00000000
staphylococcus_capitis__01,25958796.00000000
staphylococcus_epidermidis__01,111377672.00000000
staphylococcus_haemolyticus__01,52647308.00000000
staphylococcus_pseudintermedius__01,23394376.00000000
staphylococcus_sciuri__01,65476256.00000000
stenotrophomonas_maltophilia__01,307529088.00000000
streptococcus_agalactiae__01,196983920.00000000
streptococcus_agalactiae__02,48058184.00000000
streptococcus_agalactiae__03,46554864.00000000
streptococcus_dysgalactiae__01,50599352.00000000
streptococcus_equi__01,29624006.00000000
streptococcus_mitis__01,177012368.00000000
streptococcus_mutans__01,31591570.00000000
streptococcus_oralis__01,126744328.00000000
streptococcus_pneumoniae__01,71010424.00000000
streptococcus_pneumoniae__02,94319888.00000000
