#Path	Size (est.)
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599089.fa	14975419.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599088.fa	14874176.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567672.fa	14600549.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598989.fa	14672608.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628477.fa	14024856.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598979.fa	14445750.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599073.fa	14703403.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381035.fa	12845824.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257097.fa	13588221.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95497168.fa	13042010.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03253058.fa	13774500.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599071.fa	12988883.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257096.fa	13790830.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257094.fa	13641059.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257095.fa	13700630.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03253054.fa	13714564.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257091.fa	13731186.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257089.fa	13596052.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257093.fa	13657674.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257092.fa	13695737.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897824.fa	13440508.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257090.fa	13561697.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03253093.fa	13250858.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380982.fa	11999470.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380990.fa	11571007.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02360562.fa	12323537.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599006.fa	11614198.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599091.fa	11570401.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897804.fa	11624102.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02585942.fa	12379089.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897792.fa	11397228.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567662.fa	11322938.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403525.fa	11176763.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02585908.fa	10828578.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599170.fa	11489130.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599179.fa	10748550.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599090.fa	11090239.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599052.fa	11103730.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403471.fa	11066887.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599156.fa	10528840.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403627.fa	10023360.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03018408.fa	10913725.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02402667.fa	10688887.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03300105.fa	11022071.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599177.fa	10403310.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599094.fa	10683020.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599075.fa	10643664.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599180.fa	10804909.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599062.fa	10801115.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599165.fa	10720870.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599164.fa	10704392.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03257615.fa	9920274.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599015.fa	10059128.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599137.fa	10255649.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95540668.fa	10273325.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95487418.fa	10232135.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599064.fa	9897040.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02904799.fa	10144139.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00116427.fa	9696058.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380985.fa	10225868.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599140.fa	9870418.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02350447.fa	9922913.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02585952.fa	9568633.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599067.fa	10006015.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02350450.fa	9620460.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95497918.fa	10181893.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95541418.fa	10341293.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598988.fa	9450115.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02350456.fa	10067636.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567671.fa	9608825.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02586006.fa	9575789.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02586036.fa	9856606.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95488168.fa	8822924.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897880.fa	9091676.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897856.fa	9375206.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897796.fa	9295160.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380994.fa	9459367.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897783.fa	9504868.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95449168.fa	9536396.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA4798665.fa	9539643.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95542168.fa	9430790.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02414850.fa	9081267.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598978.fa	9596565.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02414849.fa	9050615.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95521918.fa	9520858.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598960.fa	9521485.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599018.fa	9659741.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598958.fa	9435940.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02350448.fa	9114698.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA72475168.fa	8721106.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00116426.fa	9048857.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598974.fa	9365972.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02350437.fa	9240571.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03300054.fa	8966432.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380984.fa	8840948.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403473.fa	9055350.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95500918.fa	9087053.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599074.fa	9422618.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599021.fa	8805618.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403534.fa	9138214.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403610.fa	9131098.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897868.fa	9200117.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598993.fa	9068408.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95427418.fa	9160056.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599019.fa	8738924.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897759.fa	8975778.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598968.fa	9024105.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381047.fa	9231556.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567670.fa	8750602.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599166.fa	8684424.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02904763.fa	8668060.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599130.fa	9330600.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599131.fa	9341301.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897770.fa	8916476.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95424418.fa	8973985.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567678.fa	8512966.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03300083.fa	8514183.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02419536.fa	8292921.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599080.fa	8536380.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381009.fa	8621783.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381051.fa	8604052.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381037.fa	8618828.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381012.fa	8589691.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN01908895.fa	8351694.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381010.fa	8529796.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567676.fa	8581503.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381029.fa	8381924.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897897.fa	8505967.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403545.fa	8463740.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403576.fa	8445042.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628507.fa	8192534.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02414885.fa	8145103.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567677.fa	8031181.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02360560.fa	8484034.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381028.fa	7756192.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381023.fa	7885096.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599004.fa	8009422.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95521168.fa	8031904.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95440918.fa	8149287.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599139.fa	7440524.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598976.fa	7819471.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381030.fa	7265727.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA72485668.fa	7702418.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA961620.fa	7427542.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02419619.fa	7639331.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95539918.fa	7940722.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403472.fa	7186319.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03225389.fa	7413053.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN01925668.fa	7259783.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02584601.fa	7012877.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599069.fa	6975440.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403637.fa	6963673.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599011.fa	6786707.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02419540.fa	7017239.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95451418.fa	7091987.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599066.fa	6778842.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599063.fa	6724237.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599138.fa	6886295.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599070.fa	6452274.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628479.fa	7121076.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00013081.fa	6795505.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00013099.fa	6841537.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381019.fa	6470552.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897816.fa	6786542.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897873.fa	6915486.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03225267.fa	6777343.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599162.fa	6428565.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95495668.fa	6556288.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403615.fa	6454623.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628478.fa	5969151.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95480668.fa	6399608.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02053762.fa	6322509.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598962.fa	6187781.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03225256.fa	6053921.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671099.fa	4358651.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03225288.fa	6016422.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403558.fa	6128868.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599141.fa	5919055.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95494168.fa	5983568.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02585988.fa	6069017.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381041.fa	5725745.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599161.fa	5682940.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671145.fa	4359282.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA4946955.fa	5705331.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671118.fa	4376590.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671158.fa	4376590.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02586075.fa	5482461.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671117.fa	4385682.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671129.fa	4376590.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403517.fa	5445769.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897805.fa	5441093.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403456.fa	5511969.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599036.fa	5420930.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598961.fa	5279367.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00992194.fa	5178031.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00992192.fa	5180419.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00992195.fa	5178031.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671111.fa	4376590.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02671126.fa	4366404.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA897810.fa	5219529.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598977.fa	5050232.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02586023.fa	5124516.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599008.fa	4930367.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567761.fa	4761185.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599056.fa	4890311.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598970.fa	5041635.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95421418.fa	4940275.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567683.fa	4782356.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598991.fa	4774591.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628522.fa	4771537.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598980.fa	4740996.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599152.fa	4755200.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403513.fa	4743759.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599017.fa	4691508.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599033.fa	4756412.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628528.fa	4238928.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03225303.fa	4684618.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02567682.fa	4642261.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380986.fa	4754142.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598957.fa	4696348.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02586074.fa	4577298.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA919814.fa	4295739.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00015347.fa	4708636.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598997.fa	4624383.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02598982.fa	4630664.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02403578.fa	4655107.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02585885.fa	4631656.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381045.fa	4543808.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02380995.fa	4652661.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02358718.fa	4306043.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA95532418.fa	4515869.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599098.fa	4505851.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599024.fa	4552827.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381034.fa	4601158.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02381042.fa	4552819.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03300079.fa	4197127.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599065.fa	4469651.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599035.fa	4551614.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02628498.fa	4311546.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02599057.fa	4536384.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA919794.fa	4338592.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA838004.fa	4567187.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMEA4791107.fa	4304633.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00217117.fa	4316489.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN00015179.fa	4528704.00000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN02585985.fa	4486884.50000000
/home/ktruong/Documents/data/tuberculosis/mycobacterium_tuberculosis__07/SAMN03018376.fa	4311177.00000000
